request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
req_128,1756.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_129,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_130,1810.00,partially_affordable,partial_payment,"2 payments: 905.00 EUR on 2026-09-12, 905.00 EUR on 2026-09-15 (Total: 1810.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1810.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
req_131,470.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve across all evaluated payment plans over 90 days.
req_132,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_133,1891.00,partially_affordable,partial_payment,"2 payments: 945.50 EUR on 2026-09-12, 945.50 EUR on 2026-09-27 (Total: 1891.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1891.00 EUR. Paying above this amount breaches your 1200.00 GBP reserve.
req_134,118.00,partially_affordable,partial_payment,"2 payments: 59.00 GBP on 2026-09-12, 59.00 GBP on 2026-09-22 (Total: 118.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 118.00 GBP. Paying above this amount breaches your 500.00 USD reserve.
req_135,145.00,partially_affordable,partial_payment,"2 payments: 72.50 USD on 2026-09-12, 72.50 USD on 2026-09-15 (Total: 145.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 145.00 USD. Paying above this amount breaches your 1000.00 USD reserve.
req_136,172.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_137,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_138,226.00,partially_affordable,partial_payment,"2 payments: 113.00 USD on 2026-09-12, 113.00 USD on 2026-09-27 (Total: 226.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 226.00 USD. Paying above this amount breaches your 1200.00 GBP reserve.
req_139,253.00,partially_affordable,partial_payment,"2 payments: 126.50 EUR on 2026-09-12, 126.50 EUR on 2026-09-22 (Total: 253.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 253.00 EUR. Paying above this amount breaches your 500.00 USD reserve.
req_140,280.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1000.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_141,307.00,partially_affordable,partial_payment,"2 payments: 153.50 USD on 2026-09-12, 153.50 USD on 2026-09-25 (Total: 307.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 307.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_142,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_143,361.00,partially_affordable,partial_payment,"2 payments: 180.50 GBP on 2026-09-12, 180.50 GBP on 2026-09-27 (Total: 361.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 361.00 GBP. Paying above this amount breaches your 1200.00 GBP reserve.
req_144,388.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_145,415.00,partially_affordable,partial_payment,"2 payments: 207.50 EUR on 2026-09-12, 207.50 EUR on 2026-09-15 (Total: 415.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 415.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
req_146,442.00,partially_affordable,partial_payment,"2 payments: 221.00 GBP on 2026-09-12, 221.00 GBP on 2026-09-25 (Total: 442.00 GBP, Option: NONE)",2026-09-25,none,Partially affordable up to 442.00 GBP. Paying above this amount breaches your 800.00 EUR reserve.
req_147,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_148,496.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_149,523.00,partially_affordable,partial_payment,"2 payments: 261.50 GBP on 2026-09-12, 261.50 GBP on 2026-09-22 (Total: 523.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 523.00 GBP. Paying above this amount breaches your 500.00 USD reserve.
req_150,550.00,partially_affordable,partial_payment,"2 payments: 275.00 USD on 2026-09-12, 275.00 USD on 2026-09-15 (Total: 550.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 550.00 USD. Paying above this amount breaches your 1000.00 USD reserve.
req_151,577.00,partially_affordable,partial_payment,"2 payments: 470.00 EUR on 2026-09-12, 107.00 EUR on 2026-09-25 (Total: 577.00 EUR, Option: NONE)",2026-09-25,none,Partially affordable up to 577.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_152,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_153,631.00,partially_affordable,partial_payment,"2 payments: 315.50 USD on 2026-09-12, 315.50 USD on 2026-09-27 (Total: 631.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 631.00 USD. Paying above this amount breaches your 1200.00 GBP reserve.
req_154,658.00,partially_affordable,partial_payment,"2 payments: 329.00 EUR on 2026-09-12, 329.00 EUR on 2026-09-22 (Total: 658.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 658.00 EUR. Paying above this amount breaches your 500.00 USD reserve.
req_155,685.00,partially_affordable,partial_payment,"2 payments: 342.50 GBP on 2026-09-12, 342.50 GBP on 2026-09-15 (Total: 685.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 685.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_156,470.00,not_affordable,not_recommended,NONE,2026-09-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-09-25.
req_157,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_158,766.00,partially_affordable,partial_payment,"2 payments: 383.00 GBP on 2026-09-12, 383.00 GBP on 2026-09-27 (Total: 766.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 766.00 GBP. Paying above this amount breaches your 1200.00 GBP reserve.
req_159,793.00,partially_affordable,partial_payment,"2 payments: 396.50 USD on 2026-09-12, 396.50 USD on 2026-09-22 (Total: 793.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 793.00 USD. Paying above this amount breaches your 500.00 USD reserve.
req_160,820.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1000.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_161,470.00,not_affordable,not_recommended,NONE,2026-09-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-09-25.
req_162,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_163,901.00,partially_affordable,partial_payment,"2 payments: 450.50 EUR on 2026-09-12, 450.50 EUR on 2026-09-27 (Total: 901.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 901.00 EUR. Paying above this amount breaches your 1200.00 GBP reserve.
req_164,928.00,not_affordable,not_recommended,NONE,2026-09-22,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-22.
req_165,955.00,partially_affordable,partial_payment,"2 payments: 477.50 USD on 2026-09-12, 477.50 USD on 2026-09-15 (Total: 955.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 955.00 USD. Paying above this amount breaches your 1000.00 USD reserve.
req_166,982.00,partially_affordable,partial_payment,"2 payments: 470.00 EUR on 2026-09-12, 512.00 EUR on 2026-09-25 (Total: 982.00 EUR, Option: NONE)",2026-09-25,none,Partially affordable up to 982.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_167,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_168,1036.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_169,1050.00,not_affordable,not_recommended,NONE,2026-09-22,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-22.
req_170,1090.00,partially_affordable,partial_payment,"2 payments: 545.00 GBP on 2026-09-12, 545.00 GBP on 2026-09-15 (Total: 1090.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 1090.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_171,1117.00,partially_affordable,partial_payment,"2 payments: 470.00 USD on 2026-09-12, 647.00 USD on 2026-09-25 (Total: 1117.00 USD, Option: NONE)",2026-09-25,none,Partially affordable up to 1117.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_172,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_173,1171.00,partially_affordable,partial_payment,"2 payments: 585.50 GBP on 2026-09-12, 585.50 GBP on 2026-09-27 (Total: 1171.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 1171.00 GBP. Paying above this amount breaches your 1200.00 GBP reserve.
req_174,1198.00,partially_affordable,partial_payment,"2 payments: 1050.00 USD on 2026-09-12, 148.00 USD on 2026-09-22 (Total: 1198.00 USD, Option: NONE)",2026-09-22,none,Partially affordable up to 1198.00 USD. Paying above this amount breaches your 500.00 USD reserve.
req_175,1225.00,partially_affordable,partial_payment,"2 payments: 612.50 EUR on 2026-09-12, 612.50 EUR on 2026-09-15 (Total: 1225.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1225.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
req_176,470.00,not_affordable,not_recommended,NONE,2026-10-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-10-25.
req_177,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_178,1306.00,partially_affordable,partial_payment,"2 payments: 653.00 EUR on 2026-09-12, 653.00 EUR on 2026-09-27 (Total: 1306.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1306.00 EUR. Paying above this amount breaches your 1200.00 GBP reserve.
req_179,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_180,1360.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1000.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_181,1387.00,partially_affordable,partial_payment,"2 payments: 470.00 EUR on 2026-09-12, 917.00 EUR on 2026-10-25 (Total: 1387.00 EUR, Option: NONE)",2026-10-25,none,Partially affordable up to 1387.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_182,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_183,1441.00,partially_affordable,partial_payment,"2 payments: 720.50 USD on 2026-09-12, 720.50 USD on 2026-09-27 (Total: 1441.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 1441.00 USD. Paying above this amount breaches your 1200.00 GBP reserve.
req_184,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_185,1495.00,partially_affordable,partial_payment,"2 payments: 747.50 GBP on 2026-09-12, 747.50 GBP on 2026-09-15 (Total: 1495.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 1495.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_186,1522.00,partially_affordable,partial_payment,"2 payments: 470.00 USD on 2026-09-12, 1052.00 USD on 2026-10-25 (Total: 1522.00 USD, Option: NONE)",2026-10-25,none,Partially affordable up to 1522.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_187,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_188,1576.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_189,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_190,1630.00,partially_affordable,partial_payment,"2 payments: 815.00 EUR on 2026-09-12, 815.00 EUR on 2026-09-15 (Total: 1630.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1630.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
req_191,470.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve across all evaluated payment plans over 90 days.
req_192,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_193,1711.00,partially_affordable,partial_payment,"2 payments: 855.50 EUR on 2026-09-12, 855.50 EUR on 2026-09-27 (Total: 1711.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1711.00 EUR. Paying above this amount breaches your 1200.00 GBP reserve.
req_194,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_195,1765.00,partially_affordable,partial_payment,"2 payments: 882.50 USD on 2026-09-12, 882.50 USD on 2026-09-15 (Total: 1765.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 1765.00 USD. Paying above this amount breaches your 1000.00 USD reserve.
req_196,470.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve across all evaluated payment plans over 90 days.
req_197,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_198,1846.00,partially_affordable,partial_payment,"2 payments: 923.00 USD on 2026-09-12, 923.00 USD on 2026-09-27 (Total: 1846.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 1846.00 USD. Paying above this amount breaches your 1200.00 GBP reserve.
req_199,1050.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve across all evaluated payment plans over 90 days.
req_200,100.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1000.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_201,127.00,partially_affordable,partial_payment,"2 payments: 63.50 USD on 2026-09-12, 63.50 USD on 2026-09-25 (Total: 127.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 127.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_202,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_203,181.00,partially_affordable,partial_payment,"2 payments: 90.50 GBP on 2026-09-12, 90.50 GBP on 2026-09-27 (Total: 181.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 181.00 GBP. Paying above this amount breaches your 1200.00 GBP reserve.
req_204,208.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_205,235.00,partially_affordable,partial_payment,"2 payments: 117.50 EUR on 2026-09-12, 117.50 EUR on 2026-09-15 (Total: 235.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 235.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
req_206,262.00,partially_affordable,partial_payment,"2 payments: 131.00 GBP on 2026-09-12, 131.00 GBP on 2026-09-25 (Total: 262.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 262.00 GBP. Paying above this amount breaches your 800.00 EUR reserve.
req_207,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_208,316.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_209,343.00,partially_affordable,partial_payment,"2 payments: 171.50 GBP on 2026-09-12, 171.50 GBP on 2026-09-22 (Total: 343.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 343.00 GBP. Paying above this amount breaches your 500.00 USD reserve.
req_210,370.00,partially_affordable,partial_payment,"2 payments: 185.00 USD on 2026-09-12, 185.00 USD on 2026-09-15 (Total: 370.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 370.00 USD. Paying above this amount breaches your 1000.00 USD reserve.
req_211,397.00,partially_affordable,partial_payment,"2 payments: 198.50 EUR on 2026-09-12, 198.50 EUR on 2026-09-25 (Total: 397.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 397.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_212,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_213,451.00,partially_affordable,partial_payment,"2 payments: 225.50 USD on 2026-09-12, 225.50 USD on 2026-09-27 (Total: 451.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 451.00 USD. Paying above this amount breaches your 1200.00 GBP reserve.
req_214,478.00,partially_affordable,partial_payment,"2 payments: 239.00 EUR on 2026-09-12, 239.00 EUR on 2026-09-22 (Total: 478.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 478.00 EUR. Paying above this amount breaches your 500.00 USD reserve.
req_215,505.00,partially_affordable,partial_payment,"2 payments: 252.50 GBP on 2026-09-12, 252.50 GBP on 2026-09-15 (Total: 505.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 505.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_216,470.00,not_affordable,not_recommended,NONE,2026-09-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-09-25.
req_217,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_218,586.00,partially_affordable,partial_payment,"2 payments: 293.00 GBP on 2026-09-12, 293.00 GBP on 2026-09-27 (Total: 586.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 586.00 GBP. Paying above this amount breaches your 1200.00 GBP reserve.
req_219,613.00,partially_affordable,partial_payment,"2 payments: 306.50 USD on 2026-09-12, 306.50 USD on 2026-09-22 (Total: 613.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 613.00 USD. Paying above this amount breaches your 500.00 USD reserve.
req_220,640.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1000.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_221,470.00,not_affordable,not_recommended,NONE,2026-09-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-09-25.
req_222,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_223,721.00,partially_affordable,partial_payment,"2 payments: 360.50 EUR on 2026-09-12, 360.50 EUR on 2026-09-27 (Total: 721.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 721.00 EUR. Paying above this amount breaches your 1200.00 GBP reserve.
req_224,748.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_225,775.00,partially_affordable,partial_payment,"2 payments: 387.50 USD on 2026-09-12, 387.50 USD on 2026-09-15 (Total: 775.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 775.00 USD. Paying above this amount breaches your 1000.00 USD reserve.
req_226,802.00,partially_affordable,partial_payment,"2 payments: 470.00 EUR on 2026-09-12, 332.00 EUR on 2026-09-25 (Total: 802.00 EUR, Option: NONE)",2026-09-25,none,Partially affordable up to 802.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_227,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_228,856.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_229,883.00,partially_affordable,partial_payment,"2 payments: 441.50 EUR on 2026-09-12, 441.50 EUR on 2026-09-22 (Total: 883.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 883.00 EUR. Paying above this amount breaches your 500.00 USD reserve.
req_230,910.00,partially_affordable,partial_payment,"2 payments: 455.00 GBP on 2026-09-12, 455.00 GBP on 2026-09-15 (Total: 910.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 910.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_231,937.00,partially_affordable,partial_payment,"2 payments: 470.00 USD on 2026-09-12, 467.00 USD on 2026-09-25 (Total: 937.00 USD, Option: NONE)",2026-09-25,none,Partially affordable up to 937.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_232,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_233,991.00,partially_affordable,partial_payment,"2 payments: 495.50 GBP on 2026-09-12, 495.50 GBP on 2026-09-27 (Total: 991.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 991.00 GBP. Paying above this amount breaches your 1200.00 GBP reserve.
req_234,1018.00,partially_affordable,partial_payment,"2 payments: 509.00 USD on 2026-09-12, 509.00 USD on 2026-09-22 (Total: 1018.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 1018.00 USD. Paying above this amount breaches your 500.00 USD reserve.
req_235,1045.00,partially_affordable,partial_payment,"2 payments: 522.50 EUR on 2026-09-12, 522.50 EUR on 2026-09-15 (Total: 1045.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1045.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
req_236,470.00,not_affordable,not_recommended,NONE,2026-10-25,none,Not recommended. Projected cashflow breaches your 800.00 EUR safety reserve over 90 days. Earliest date for safe full payment is 2026-10-25.
req_237,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_238,1126.00,partially_affordable,partial_payment,"2 payments: 563.00 EUR on 2026-09-12, 563.00 EUR on 2026-09-27 (Total: 1126.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1126.00 EUR. Paying above this amount breaches your 1200.00 GBP reserve.
req_239,1050.00,not_affordable,not_recommended,NONE,2026-10-22,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-10-22.
req_240,1180.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1000.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_241,1207.00,partially_affordable,partial_payment,"2 payments: 470.00 EUR on 2026-09-12, 737.00 EUR on 2026-10-25 (Total: 1207.00 EUR, Option: NONE)",2026-10-25,none,Partially affordable up to 1207.00 EUR. Paying above this amount breaches your 800.00 EUR reserve.
req_242,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_243,1261.00,partially_affordable,partial_payment,"2 payments: 630.50 USD on 2026-09-12, 630.50 USD on 2026-09-27 (Total: 1261.00 USD, Option: NONE)",2026-09-12,none,Partially affordable up to 1261.00 USD. Paying above this amount breaches your 1200.00 GBP reserve.
req_244,1050.00,not_affordable,not_recommended,NONE,2026-10-22,none,Not recommended. Projected cashflow breaches your 500.00 USD safety reserve over 90 days. Earliest date for safe full payment is 2026-10-22.
req_245,1315.00,partially_affordable,partial_payment,"2 payments: 657.50 GBP on 2026-09-12, 657.50 GBP on 2026-09-15 (Total: 1315.00 GBP, Option: NONE)",2026-09-12,none,Partially affordable up to 1315.00 GBP. Paying above this amount breaches your 1000.00 USD reserve.
req_246,1342.00,partially_affordable,partial_payment,"2 payments: 470.00 USD on 2026-09-12, 872.00 USD on 2026-10-25 (Total: 1342.00 USD, Option: NONE)",2026-10-25,none,Partially affordable up to 1342.00 USD. Paying above this amount breaches your 800.00 EUR reserve.
req_247,0.00,not_affordable,not_recommended,NONE,NONE,none,Not recommended. Projected cashflow breaches your 800.00 USD safety reserve across all evaluated payment plans over 90 days.
req_248,1396.00,not_affordable,not_recommended,NONE,2026-09-12,none,Not recommended. Projected cashflow breaches your 1200.00 GBP safety reserve over 90 days. Earliest date for safe full payment is 2026-09-12.
req_249,1423.00,partially_affordable,partial_payment,"2 payments: 1050.00 USD on 2026-09-12, 373.00 USD on 2026-10-22 (Total: 1423.00 USD, Option: NONE)",2026-10-22,none,Partially affordable up to 1423.00 USD. Paying above this amount breaches your 500.00 USD reserve.
req_250,1450.00,partially_affordable,partial_payment,"2 payments: 725.00 EUR on 2026-09-12, 725.00 EUR on 2026-09-15 (Total: 1450.00 EUR, Option: NONE)",2026-09-12,none,Partially affordable up to 1450.00 EUR. Paying above this amount breaches your 1000.00 USD reserve.
